Time	I_src_A	I_src_B	I_src_C
4.04935  	-18.2388	-0.281103	0.468572
4.0494  	-18.192	-0.28789	0.464276
4.04945  	-18.1407	-0.294588	0.459884
4.0495  	-18.0849	-0.301223	0.45537
4.04955  	-18.0247	-0.307787	0.45074
4.0496  	-17.9601	-0.31426	0.446013
4.04965  	-17.8911	-0.320676	0.441156
4.0497  	-17.8176	-0.326995	0.436208
4.04975  	-17.7398	-0.333241	0.431143
4.0498  	-17.6576	-0.33941	0.425969
4.04985  	-17.5711	-0.34548	0.420704
4.0499  	-17.4803	-0.351484	0.415316
4.04995  	-17.3852	-0.357385	0.409842
4.05  	-17.2857	-0.363205	0.404259
4.05005  	-17.1821	-0.36894	0.398572
4.0501  	-17.0742	-0.374569	0.392802
4.05015  	-16.9622	-0.380125	0.386915
4.0502  	-16.8459	-0.385571	0.380949
4.05025  	-16.7255	-0.390929	0.374883
4.0503  	-16.601	-0.396195	0.368718
4.05035  	-16.4725	-0.401349	0.362478
4.0504  	-16.3398	-0.406422	0.356129
4.05045  	-16.2032	-0.41138	0.349709
4.0505  	-16.0626	-0.416242	0.343195
4.05055  	-15.918	-0.421007	0.336592
4.0506  	-15.7695	-0.425653	0.32992
4.05065  	-15.6172	-0.430213	0.323148
4.0507  	-15.461	-0.434652	0.316312
4.05075  	-15.301	-0.438989	0.309392
4.0508  	-15.1373	-0.443224	0.30239
4.05085  	-14.9698	-0.447334	0.295328
4.0509  	-14.7986	-0.451352	0.288175
4.05095  	-14.6239	-0.455244	0.280966
4.051  	-14.4455	-0.459029	0.273682
4.05105  	-14.2636	-0.462707	0.266324
4.0511  	-14.0781	-0.466256	0.258916
4.05115  	-13.8892	-0.469707	0.251426
4.0512  	-13.6969	-0.473029	0.243887
4.05125  	-13.5012	-0.476239	0.236285
4.0513  	-13.3023	-0.479338	0.228617
4.05135  	-13.1	-0.482303	0.220907
4.0514  	-12.8945	-0.485167	0.213126
4.05145  	-12.6859	-0.487898	0.205305
4.0515  	-12.4741	-0.490512	0.197431
4.05155  	-12.2593	-0.493012	0.1895
4.0516  	-12.0415	-0.495376	0.181537
4.05165  	-11.8207	-0.497634	0.173513
4.0517  	-11.597	-0.499758	0.165458
4.05175  	-11.3705	-0.501761	0.15736
4.0518  	-11.1412	-0.503648	0.149215
4.05185  	-10.9091	-0.505395	0.141048
4.0519  	-10.6743	-0.507034	0.13283
4.05195  	-10.437	-0.508537	0.124591
4.052  	-10.197	-0.509916	0.116319
4.05205  	-9.95462	-0.511177	0.10801
4.0521  	-9.70974	-0.512297	0.09969
4.05215  	-9.46249	-0.513307	0.0913289
4.0522  	-9.21291	-0.51418	0.082956
4.05225  	-8.96107	-0.514927	0.0745616
4.0523  	-8.70705	-0.515555	0.0661399
4.05235  	-8.45086	-0.516041	0.0577173
4.0524  	-8.19263	-0.516416	0.0492645
4.05245  	-7.93238	-0.516653	0.0408098
4.0525  	-7.67017	-0.516763	0.0323445
4.05255  	-7.40611	-0.516755	0.0238619
4.0526  	-7.1402	-0.516603	0.0153889
4.05265  	-6.87257	-0.51634	0.00689662
4.0527  	-6.60325	-0.51594	-0.00158783
4.05275  	-6.3323	-0.515413	-0.0100718
4.0528  	-6.05981	-0.514768	-0.0185629
4.05285  	-5.78583	-0.51398	-0.027034
4.0529  	-5.51044	-0.513081	-0.0355136
4.05295  	-5.23371	-0.512046	-0.0439754
4.053  	-4.95568	-0.510885	-0.0524258
4.05305  	-4.67646	-0.509607	-0.0608731
4.0531  	-4.39608	-0.508188	-0.0692901
4.05315  	-4.11464	-0.506658	-0.0777046
4.0532  	-3.8322	-0.504995	-0.0860917
4.05325  	-3.54881	-0.503207	-0.0944563
4.0533  	-3.26457	-0.501304	-0.102808
4.05335  	-2.97952	-0.499262	-0.111119
4.0534  	-2.69376	-0.497112	-0.119416
4.05345  	-2.40735	-0.494831	-0.127677
4.0535  	-2.12034	-0.492426	-0.135904
4.05355  	-1.83284	-0.48991	-0.144108
4.0536  	-1.54488	-0.487258	-0.152262
4.05365  	-1.25656	-0.4845	-0.160392
4.0537  	-0.967937	-0.481615	-0.168475
4.05375  	-0.679078	-0.478609	-0.176514
4.0538  	-0.390081	-0.475496	-0.18452
4.05385  	-0.10098	-0.47225	-0.192466
4.0539  	0.188124	-0.468901	-0.200378
4.05395  	0.477171	-0.46543	-0.208234
4.054  	0.766101	-0.461841	-0.216036
4.05405  	1.05481	-0.458149	-0.223795
4.0541  	1.34327	-0.45433	-0.231484
4.05415  	1.63138	-0.450411	-0.239129
4.0542  	1.91907	-0.446375	-0.246709
4.05425  	2.20629	-0.442226	-0.254225
4.0543  	2.49294	-0.437978	-0.261689
4.05435  	2.77898	-0.433608	-0.269074
4.0544  	3.06432	-0.429144	-0.276405
4.05445  	3.34889	-0.424568	-0.283663
4.0545  	3.63263	-0.419884	-0.290847
4.05455  	3.91545	-0.415107	-0.29797
4.0546  	4.19731	-0.410213	-0.305005
4.05465  	4.47812	-0.405231	-0.311977
4.0547  	4.7578	-0.400143	-0.318867
4.05475  	5.03632	-0.394953	-0.325675
4.0548  	5.31357	-0.389676	-0.332413
